# ----------------------------------------
# SA app
# Dani pokes at LA trends-Free form 1
# 20201201-20220101
# ----------------------------------------

Month,01,12,06,11,05,02,08,12,07,10,09,04,03,01,Totals
Year,2021,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,Totals
Country ID,New users,New users,New users,New users,New users,New users,New users,New users,New users,New users,New users,New users,New users,New users,New users
IT,2,2,0,9,5,4,0,4,3,4,1,3,1,0,38
CN,8,5,2,1,1,7,1,3,2,2,2,0,2,0,36
AF,1,3,1,2,1,2,3,4,6,2,1,4,1,1,32
GM,5,1,1,3,1,10,2,1,2,1,4,1,0,0,32
AO,2,0,2,3,1,1,3,8,1,3,4,0,3,0,31
BW,1,2,2,3,0,1,2,3,2,7,3,1,1,0,28
EG,2,3,2,5,0,2,1,7,1,2,1,1,1,0,28
MM,0,7,2,0,5,2,1,3,0,4,2,0,2,0,28
MR,4,1,3,1,1,3,4,0,2,1,2,3,2,0,27
LY,2,2,4,1,0,5,3,0,1,2,2,0,4,0,26
IQ,3,3,3,1,2,1,2,4,0,3,1,1,1,0,25
MZ,0,1,2,2,0,1,12,2,1,1,1,1,1,0,25
NZ,0,1,1,1,8,2,1,1,0,1,3,5,1,0,25
SS,0,1,5,3,2,2,3,0,3,4,1,0,1,0,25
BE,0,1,2,1,1,3,3,3,3,2,2,2,0,0,23
TN,3,1,1,2,1,1,3,1,4,3,1,0,2,0,23
LS,2,3,2,2,2,0,0,4,4,2,1,0,0,0,22
SZ,3,1,3,3,1,1,1,1,0,0,7,0,0,0,21
YE,2,5,3,1,0,1,0,2,2,2,2,1,0,0,21
MW,2,1,4,2,0,1,3,1,0,1,0,4,0,1,20
MU,1,1,1,2,0,1,6,0,1,2,2,1,1,0,19
QA,0,0,1,1,2,0,0,5,4,0,2,2,0,1,18
SG,1,3,0,0,2,1,0,3,1,2,2,2,1,0,18
TR,1,2,1,0,1,0,3,4,0,1,2,1,1,0,17
AU,3,2,0,1,1,0,1,5,0,0,1,1,0,0,15
CF,1,1,0,1,3,1,0,1,2,1,1,0,1,0,13
CH,0,1,2,2,0,0,0,1,2,2,0,1,2,0,13
IE,0,1,1,3,0,0,1,0,0,2,4,1,0,0,13
PR,0,0,2,3,1,0,2,1,1,1,0,1,1,0,13
LK,0,0,1,0,1,2,3,3,1,0,1,0,0,0,12
RO,0,1,0,0,1,2,1,2,2,0,1,0,1,1,12
SD,1,0,1,0,0,1,2,2,0,1,2,1,1,0,12
VN,2,0,0,0,0,1,0,2,3,1,2,0,0,1,12
DK,1,0,2,1,0,0,2,0,0,0,3,1,1,0,11
PT,1,0,1,0,2,0,1,3,0,0,0,1,2,0,11
GP,0,0,0,2,1,2,0,2,0,0,1,1,1,0,10
PL,2,2,1,0,0,0,1,1,0,0,0,1,2,0,10
KR,1,1,1,1,0,0,1,0,0,2,1,1,0,0,9
KW,0,0,0,1,3,0,0,0,1,2,0,1,1,0,9
OM,1,1,2,0,0,1,0,0,1,1,1,1,0,0,9
RE,1,0,1,1,0,1,1,1,0,0,0,3,0,0,9
TT,1,0,2,1,1,0,0,1,0,0,0,1,2,0,9
AZ,0,2,0,0,0,3,0,1,0,0,0,1,1,0,8
IL,0,0,1,0,0,1,2,0,1,1,1,1,0,0,8
JP,0,0,0,0,2,3,0,0,1,1,1,0,0,0,8
SE,0,0,1,1,0,0,1,0,1,2,2,0,0,0,8
BT,1,2,2,2,0,0,0,0,0,0,0,0,0,0,7
CY,0,1,3,0,1,0,0,0,0,0,1,1,0,0,7
GW,1,1,0,1,0,0,0,0,1,0,1,0,2,0,7
KH,1,1,0,1,1,0,0,0,1,1,0,1,0,0,7
MQ,1,0,0,0,0,1,1,0,0,0,0,2,2,0,7
SR,0,2,0,0,0,0,0,2,1,0,0,0,2,0,7
UA,0,0,1,2,0,1,1,2,0,0,0,0,0,0,7
DJ,2,0,0,0,0,0,0,1,0,0,0,1,2,0,6
FJ,2,0,1,0,1,0,0,0,0,1,0,1,0,0,6
GY,2,2,0,1,1,0,0,0,0,0,0,0,0,0,6
LB,0,1,0,0,1,0,0,1,0,1,1,1,0,0,6
LC,0,0,0,0,1,0,0,0,0,1,0,0,4,0,6
UZ,0,1,0,0,0,2,0,0,0,1,1,0,1,0,6
BH,0,0,0,1,0,0,1,0,0,0,2,0,1,0,5
BS,0,0,0,0,0,1,0,0,2,0,0,1,1,0,5
BZ,3,0,0,0,0,0,0,0,1,0,0,1,0,0,5
CV,1,0,0,0,0,1,0,2,0,0,0,1,0,0,5
KZ,0,0,0,0,1,1,0,1,0,0,0,1,1,0,5
TH,0,1,0,1,0,0,0,2,0,0,0,0,1,0,5
GD,0,1,1,0,1,0,1,0,0,0,0,0,0,0,4
LT,2,0,0,0,0,0,0,1,0,0,0,1,0,0,4
TW,0,0,0,0,0,0,1,2,0,0,0,1,0,0,4
YT,0,0,1,0,0,0,1,0,1,0,0,1,0,0,4
BN,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3
BY,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3
CZ,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3
GF,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3
GR,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3
KG,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3
LV,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3
SB,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
AL,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
AT,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
BB,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
CW,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
DM,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
EH,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
HU,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
JO,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
LA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
LU,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
MV,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
SK,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
SY,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
TC,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
TL,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
TM,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
VC,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
VU,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
XK,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
AD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
BG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
FM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
FO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
GI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
GU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
KN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
KY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
MH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
NC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
RS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TJ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
WS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

